ID,Title,Summary Title,Sport,Year,Brand,Set Name,Card Type,Condition,Grade,Raw Avg Price,PSA 9 Avg Price,PSA 10 Price,eBay Item ID,Image URL,Search Term,Source,Created At,Last Updated,Notes
23,"1991 UPPER DECK BASKETBALL CARD #44 HOF MICHAEL JORDAN PSA 10 NBA CHICAGO BULLS","1991 UPPER DECK BASKETBALL CARD #44 HOF MICHAEL JORDAN NBA CHICAGO BULLS",Basketball,1991,Unknown,Unknown,Base,Raw,PSA 10,N/A,N/A,113.08,224660867406,https://i.ebayimg.com/images/g/fBgAAOSwfHthdeEh/s-l225.jpg,PSA 10 basketball,130point_auto,2025-08-10 01:34:34,2025-08-10 01:34:34,N/A
22,"2024-25 Panini Prizm Basketball Mata Buzelis Ice Prizm #252 RC PSA 10 Bulls","2024-25 Panini Prizm Basketball Mata Buzelis Ice Prizm #252 RC Bulls",Basketball,2024,Panini,Prizm,Rookie,Raw,PSA 10,N/A,N/A,185,406096543269,https://i.ebayimg.com/images/g/jdgAAeSwsI9ojQvH/s-l225.jpg,PSA 10 basketball,130point_auto,2025-08-10 01:34:25,2025-08-10 01:34:25,N/A
21,"1995-96 FLAIR NBA BASKETBALL GRANT HILL #2 HOT NUMBERS PISTONS PSA 10 GEM MT","1995-96 FLAIR NBA BASKETBALL GRANT HILL #2 HOT NUMBERS PISTONS",Basketball,1995,Unknown,Unknown,Base,Raw,PSA 10,N/A,N/A,299.99,116724409899,https://i.ebayimg.com/images/g/PscAAeSwAw9olRIX/s-l225.jpg,PSA 10 basketball,130point_auto,2025-08-10 01:34:14,2025-08-10 01:34:14,N/A
20,"2023 CALEB WILLIAMS Bowman Chrome PSA 10","2023 CALEB WILLIAMS Bowman Chrome",Baseball,2023,Bowman,Chrome,Base,Raw,PSA 10,N/A,N/A,33,157215338640,https://i.ebayimg.com/images/g/ToAAAeSwpTFojp0U/s-l225.jpg,PSA 10,130point_auto,2025-08-10 01:34:00,2025-08-10 01:34:00,N/A
19,"2022 Bowman University Chrome Drew Allar /499 Refractor 1st Auto PSA 10 Penn St","2022 Bowman University Chrome Drew Allar /499 Refractor 1st Auto Penn St",Baseball,2022,Bowman,Base,Autograph,Raw,PSA 10,N/A,N/A,254,236247292237,https://i.ebayimg.com/images/g/wzMAAeSwwYBokWDM/s-l225.jpg,PSA 10,130point_auto,2025-08-10 01:33:47,2025-08-10 01:33:47,N/A
18,"Amon-Ra St. Brown Auto PSA 10/9 - 2022 Panini XR /49 Lions Pop. 1","Amon-Ra St. Brown Auto /9 - 2022 Panini XR /49 Lions Pop. 1",Unknown,2022,Panini,Base,Autograph,Raw,PSA 10,N/A,N/A,103.5,406099920140,https://i.ebayimg.com/images/g/c70AAeSw1z9oh-U0/s-l225.jpg,PSA 10,130point_auto,2025-08-10 01:33:36,2025-08-10 01:33:36,N/A
17,"JOHN CENA PSA 10: 2025 WWE Topps Now #46 -Wins Record Breaking 17th World Title","JOHN CENA : 2025 WWE Topps Now #46 -Wins Record Breaking 17th World Title",Unknown,2025,Topps,Base,Base,Raw,PSA 10,N/A,N/A,45,257056913025,https://i.ebayimg.com/images/g/6XsAAeSwCglollPA/s-l225.jpg,PSA 10,130point_auto,2025-08-10 01:33:23,2025-08-10 01:33:23,N/A
16,"2024 Panini Obsidian Vitreous Patrick Mahomes Case Hit !! PSA 10 GEM 💎 CHIEFS","2024 Panini Obsidian Vitreous Patrick Mahomes Case Hit !! GEM 💎 CHIEFS",Basketball,2024,Panini,Obsidian,Base,Raw,PSA 10,N/A,N/A,183.5,257047963032,https://i.ebayimg.com/images/g/MB8AAeSwVdJojp7f/s-l225.jpg,PSA 10,130point_auto,2025-08-10 01:33:16,2025-08-10 01:33:16,N/A
15,"JJ McCARTHY #HPJM PSA 10 RC HYPE 2024 PANINI PRIZM DRAFT PICKS MICHIGAN WOLVERIN","JJ McCARTHY #HPJM RC HYPE 2024 PANINI PRIZM DRAFT PICKS MICHIGAN WOLVERIN",Basketball,2024,Panini,Prizm,Rookie,Raw,PSA 10,N/A,N/A,28,157215342324,https://i.ebayimg.com/images/g/lYcAAeSwhrxojp7S/s-l225.jpg,PSA 10,130point_auto,2025-08-10 01:33:04,2025-08-10 01:33:04,N/A
14,"2017 Bowman Chrome Jo Adell PSA 10","2017 Bowman Chrome Jo Adell",Baseball,2017,Bowman,Chrome,Base,Raw,PSA 10,N/A,N/A,14.95,197599017027,https://i.ebayimg.com/images/g/nG0AAeSwi71olVTa/s-l225.jpg,PSA 10,130point_auto,2025-08-10 01:32:59,2025-08-10 01:32:59,N/A
13,"📈 2023 Bowman Platinum Top Prospects Jackson Chourio #TOP-58 PSA 10 💎","📈 2023 Bowman Platinum Top Prospects Jackson Chourio #TOP-58 💎",Unknown,2023,Bowman,Base,Base,Raw,PSA 10,N/A,N/A,9.99,267353952501,https://i.ebayimg.com/images/g/v0wAAeSwbjZoWchx/s-l225.jpg,PSA 10,130point_auto,2025-08-10 01:32:43,2025-08-10 01:32:43,N/A
12,"2024 Topps Heritage Shohei Ohtani PSA 10 Los Angeles Dodgers","2024 Topps Heritage Shohei Ohtani Los Angeles Dodgers",Baseball,2024,Topps,Heritage,Base,Raw,PSA 10,N/A,N/A,75,N/A,N/A,test_search,130point_auto,2025-08-10 01:27:27,2025-08-10 01:27:27,N/A
11,"2024 Panini National Treasures Victor Wembanyama Rookie PSA 10 San Antonio Spurs","2024 Panini National Treasures Victor Wembanyama Rookie San Antonio Spurs",Basketball,2024,Panini,National Treasures,Rookie,Raw,PSA 10,N/A,N/A,500,N/A,N/A,test_search,130point_auto,2025-08-10 01:27:27,2025-08-10 01:27:27,N/A
10,"2024 Panini Prizm Caleb Williams Rookie PSA 10 Chicago Bears","2024 Panini Prizm Caleb Williams Rookie Chicago Bears",Football,2024,Panini,Prizm,Rookie,Raw,PSA 10,N/A,N/A,200,N/A,N/A,test_search,130point_auto,2025-08-10 01:27:27,2025-08-10 01:27:27,N/A
9,"2024 Topps Chrome Paul Skenes Rookie PSA 10 Pittsburgh Pirates","2024 Topps Chrome Paul Skenes Rookie Pittsburgh Pirates",Baseball,2024,Topps,Chrome,Rookie,Raw,PSA 10,N/A,N/A,150,N/A,N/A,test_search,130point_auto,2025-08-10 01:27:27,2025-08-10 01:27:27,N/A
8,"2024 Topps Heritage Shohei Ohtani PSA 10 Los Angeles Dodgers","2024 Topps Heritage Shohei Ohtani Los Angeles Dodgers",Baseball,2024,Topps,Heritage,Base,Raw,PSA 10,N/A,N/A,75,N/A,N/A,test_search,130point_auto,2025-08-10 01:26:09,2025-08-10 01:26:09,N/A
7,"2024 Panini National Treasures Victor Wembanyama Rookie PSA 10 San Antonio Spurs","2024 Panini National Treasures Victor Wembanyama Rookie San Antonio Spurs",Basketball,2024,Panini,National Treasures,Rookie,Raw,PSA 10,N/A,N/A,500,N/A,N/A,test_search,130point_auto,2025-08-10 01:26:09,2025-08-10 01:26:09,N/A
6,"2024 Panini Prizm Caleb Williams Rookie PSA 10 Chicago Bears","2024 Panini Prizm Caleb Williams Rookie Chicago Bears",Basketball,2024,Panini,Prizm,Rookie,Raw,PSA 10,N/A,N/A,200,N/A,N/A,test_search,130point_auto,2025-08-10 01:26:09,2025-08-10 01:26:09,N/A
5,"2024 Topps Chrome Paul Skenes Rookie PSA 10 Pittsburgh Pirates","2024 Topps Chrome Paul Skenes Rookie Pittsburgh Pirates",Baseball,2024,Topps,Chrome,Rookie,Raw,PSA 10,N/A,N/A,150,N/A,N/A,test_search,130point_auto,2025-08-10 01:26:09,2025-08-10 01:26:09,N/A
4,"2024 Topps Heritage Shohei Ohtani PSA 10 Los Angeles Dodgers","2024 Topps Heritage Shohei Ohtani Los Angeles Dodgers",Baseball,2024,Topps,Heritage,Base,Raw,PSA 10,N/A,N/A,75,N/A,N/A,test_search,130point_auto,2025-08-10 01:25:43,2025-08-10 01:25:43,N/A
3,"2024 Panini National Treasures Victor Wembanyama Rookie PSA 10 San Antonio Spurs","2024 Panini National Treasures Victor Wembanyama Rookie San Antonio Spurs",Basketball,2024,Panini,National Treasures,Rookie,Raw,PSA 10,N/A,N/A,500,N/A,N/A,test_search,130point_auto,2025-08-10 01:25:43,2025-08-10 01:25:43,N/A
2,"2024 Panini Prizm Caleb Williams Rookie PSA 10 Chicago Bears","2024 Panini Prizm Caleb Williams Rookie Chicago Bears",Basketball,2024,Panini,Prizm,Rookie,Raw,PSA 10,N/A,N/A,200,N/A,N/A,test_search,130point_auto,2025-08-10 01:25:43,2025-08-10 01:25:43,N/A
1,"2024 Topps Chrome Paul Skenes Rookie PSA 10 Pittsburgh Pirates","2024 Topps Chrome Paul Skenes Rookie Pittsburgh Pirates",Baseball,2024,Topps,Chrome,Rookie,Raw,PSA 10,N/A,N/A,150,N/A,N/A,test_search,130point_auto,2025-08-10 01:25:43,2025-08-10 01:25:43,N/A
